[ 2014-07-05T20:15:04+08:00 ] 180.153.81.158 /
INFO: [ app_init ] --START--
INFO: Run Behavior\BuildLiteBehavior [ RunTime:0.000020s ]
INFO: [ app_init ] --END-- [ RunTime:0.000334s ]
INFO: [ app_begin ] --START--
INFO: Run Behavior\ReadHtmlCacheBehavior [ RunTime:0.000404s ]
INFO: [ app_begin ] --END-- [ RunTime:0.000459s ]
SQL: SHOW COLUMNS FROM `auction` [ RunTime:0.000752s ]
SQL: SHOW COLUMNS FROM `iteminfo` [ RunTime:0.000400s ]
SQL: SELECT MAX(time) AS tp_max FROM `auction` LIMIT 1   [ RunTime:0.000079s ]
SQL: SELECT * FROM `auction` WHERE ( `time` >= '1404260234' ) AND ( `group` = 1 ) ORDER BY item LIMIT 400   [ RunTime:0.000281s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=647 )  [ RunTime:0.002162s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=647 )  [ RunTime:0.002304s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=754 )  [ RunTime:0.000072s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=754 )  [ RunTime:0.000066s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000067s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000066s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000066s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000065s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000065s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000065s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000065s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000065s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000306s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000276s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000300s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000310s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000285s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000278s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000276s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000278s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=765 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=769 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000277s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000270s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000296s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000277s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000277s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000276s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=774 )  [ RunTime:0.000288s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=783 )  [ RunTime:0.000278s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=783 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=783 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=783 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000278s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000293s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000330s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000276s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000291s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000281s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000341s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000065s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000295s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000281s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000278s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000281s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000316s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=785 )  [ RunTime:0.000319s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=789 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=809 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=811 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=812 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=812 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=812 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=812 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=818 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=818 )  [ RunTime:0.000292s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=818 )  [ RunTime:0.000271s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=818 )  [ RunTime:0.000289s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=818 )  [ RunTime:0.000328s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=818 )  [ RunTime:0.000276s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=818 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=818 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=818 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=858 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=866 )  [ RunTime:0.000292s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=867 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=869 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=870 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=870 )  [ RunTime:0.000271s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=873 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=940 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=940 )  [ RunTime:0.000274s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=940 )  [ RunTime:0.000271s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=943 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=943 )  [ RunTime:0.000291s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=944 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=1015 )  [ RunTime:0.000276s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=1168 )  [ RunTime:0.000272s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=1168 )  [ RunTime:0.000273s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=1168 )  [ RunTime:0.000271s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=1168 )  [ RunTime:0.000270s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=1169 )  [ RunTime:0.000337s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=1169 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=1169 )  [ RunTime:0.000303s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=1203 )  [ RunTime:0.000275s ]
SQL: SELECT * FROM `iteminfo` WHERE ( item=1203 )  [ RunTime:0.000273s ]
